DISC;PAL;LINE;CAMPIONATO;NAZ;CULT;EVENTO;DATA ORA;STATO;FN1;FNX;FN2
1;350;16452;CSTR1;0;0;ALAJUELENSE - PEREZ ZELEDON;22/09/2022 03.00;A;1,40;4,30;6,00
1;350;16449;COL1;0;0;JUNIOR BARRANQUILLA - MILLONARIOS;22/09/2022 03.15;A;2,20;3,00;3,30
1;350;4470;ARG3;0;0;JUVENTUD ANTONIANA ... - GIMNASIA Y TIRO DE ...;22/09/2022 03.15;A;2,40;2,70;2,90
1;350;52993;ELS1;0;0;ALIANZA - ATLETICO MARTE;22/09/2022 03.15;A;1,37;3,70;8,20
1;350;52994;ELS1;0;0;ISIDRO METAPAN - SANTA TECLA;22/09/2022 03.30;A;2,05;2,90;3,35
1;350;16478;CSTR1;0;0;SANTOS DE GUAPILES - DEPORTIVO SAPRISSA;22/09/2022 04.00;A;5,20;4,00;1,47
1;350;16483;USA1F;0;0;PORTLAND THORNS - RACING LOUISVILLE FC;22/09/2022 04.00;A;1,37;4,10;6,60
1;350;16437;USA3;0;0;NORTHERN COLORADO H... - UNION OMAHA SC;22/09/2022 04.00;A;2,30;3,25;2,65
1;350;16482;MEX2;0;0;CIMARRONES DE SONOR... - ALACRANES DE DURANGO;22/09/2022 04.05;A;1,77;3,40;4,00
1;350;16450;MEX2;0;0;CSD DORADOS SINALOA - CD MINEROS DE ZACAT...;22/09/2022 04.05;A;2,20;3,20;2,90
1;350;16447;USA2;0;0;MONTEREY BAY FC - PHOENIX RISING;22/09/2022 04.30;A;2,05;3,70;2,80
1;350;16464;USA1F;0;0;ANGEL CITY FC - WASHINGTON SPIRIT;22/09/2022 04.30;A;2,30;2,90;2,80
1;350;16390;USA3;0;0;CV FUEGO FC - FORWARD MADISON FC;22/09/2022 04.30;A;2,65;3,45;2,20
1;350;16432;AMINT;0;0;AUSTRALIA - NUOVA ZELANDA;22/09/2022 12.00;A;1,47;4,20;6,00
1;350;16417;AMINT;0;0;TRINIDAD E TOBAGO - TAGIKISTAN;22/09/2022 12.30;A;1,95;3,30;3,25
1;350;4465;THA2;0;0;KASETSART FC - RANONG UNITED;22/09/2022 12.30;A;2,15;3,20;2,95
1;350;16456;NOR4;0;0;VIKING 2 - FK HAUGESUND 2;22/09/2022 14.00;A;1,58;4,50;3,65
1;350;62083;AMINT;0;0;CAMBOGIA - BANGLADESH;22/09/2022 14.00;A;2,40;3,20;2,80
1;350;27349;ITA4;0;0;CORREGGESE - SAMMAURESE;22/09/2022 15.00;A;1,92;3,20;3,65
1;350;16462;CRO2;0;0;KUSTOSIJA - HNK VUKOVAR 1991;22/09/2022 16.00;A;2,50;2,90;2,60
1;350;27347;ITA4;0;0;CASTELLANZESE - VADO;22/09/2022 16.00;A;2,35;2,95;2,90
1;350;16426;MEXU20;0;0;DEPORTIVO TOLUCA Y - SANTOS LAGUNA Y;22/09/2022 16.00;A;2,70;3,40;2,20
1;350;16416;MEXU20;0;0;MONTERREY Y - PUEBLA Y;22/09/2022 16.00;A;2,15;3,35;2,80
1;350;4929;NATLEA;0;0;KAZAKISTAN - BIELORUSSIA;22/09/2022 16.00;A;2,15;2,95;3,60
1;350;27351;ITA4;0;0;DERTHONA - SCD LIGORNA 1922;22/09/2022 17.30;A;2,05;3,10;3,25
1;350;14817;ISR1F;0;0;TEL AVIV UNIVERSITY - KIRYAT GAT SC;22/09/2022 17.30;A;8,40;5,80;1,20
1;350;16474;NOR4;0;0;SOLA FK - FK VIDAR;22/09/2022 17.30;A;2,10;4,20;2,40
1;350;34732;AMIU21;0;0;ITALIA U21 - INGHILTERRA U21;22/09/2022 17.30;A;2,90;3,35;2,10
1;350;16375;CDV1;0;0;ASEC MIMOSAS - SO ARMEE;22/09/2022 18.00;A;1,33;4,10;8,00
1;350;16425;AMINT;0;0;ISLANDA - VENEZUELA;22/09/2022 18.00;A;2,65;3,35;2,40
1;350;27346;ITA4;0;0;BORGOSESIA - LEGNANO;22/09/2022 18.00;A;2,10;3,00;3,25
1;350;6222;NATLEA;0;0;LETTONIA - MOLDOVA;22/09/2022 18.00;A;1,65;3,50;5,60
1;350;16473;ISR2;0;0;HAPOEL ACRE FC - MACCABI KABILIO JAFFA;22/09/2022 18.30;A;2,70;2,75;2,55
1;350;16455;ISR2;0;0;HAPOEL KFAR - FC KAFR QASIM;22/09/2022 18.30;A;2,55;2,85;2,60
1;350;16451;ISR2;0;0;HAPOEL NOF HAGALIL ... - HAPOEL RISHON LEZIO...;22/09/2022 18.30;A;2,55;2,85;2,60
1;350;16458;ISR2;0;0;IRONI TIBERIAS - HAPOEL RAMAT GAN GI...;22/09/2022 18.30;A;2,40;2,60;3,05
1;350;16476;ISR2;0;0;MACCABI ACHI NAZARE... - HAPOEL NIR RAMAT HA...;22/09/2022 18.30;A;2,10;2,75;3,40
1;350;14803;ISR1F;0;0;HAPOEL KATAMON JERU... - MACCABI GIRLS EMEK ...;22/09/2022 18.45;A;13,00;8,80;1,06
1;350;16454;NOR4;0;0;IF FLOEYA - SKJERVOEY;22/09/2022 20.00;A;1,17;6,40;8,80
1;350;34722;AMIU21;0;0;SVIZZERA U21 - GIAPPONE;22/09/2022 20.00;A;1,90;3,45;3,30
1;350;16469;IRL1;0;0;SHELBOURNE FC - SHAMROCK ROVERS;22/09/2022 20.45;A;4,60;3,35;1,75
1;350;16391;CCHSCO;0;0;GREENOCK MORTON FC - AYR UNITED FC;22/09/2022 20.45;A;3,30;3,20;2,00
1;350;16399;CCHSCO;0;0;QUEEN OF THE SOUTH FC - EDINBURGH CITY FC;22/09/2022 20.45;A;1,50;4,30;4,50
1;350;4919;NATLEA;0;0;BELGIO - GALLES;22/09/2022 20.45;A;1,35;4,75;8,25
1;350;4922;NATLEA;0;0;CROAZIA - DANIMARCA;22/09/2022 20.45;A;2,45;3,10;2,95
1;350;4924;NATLEA;0;0;FRANCIA - AUSTRIA;22/09/2022 20.45;A;1,35;4,85;8,00
1;350;4930;NATLEA;0;0;LIECHTENSTEIN - ANDORRA;22/09/2022 20.45;A;3,90;3,05;2,05
1;350;4931;NATLEA;0;0;LITUANIA - ISOLE FAR OER;22/09/2022 20.45;A;2,20;3,15;3,35
1;350;4932;NATLEA;0;0;POLONIA - OLANDA;22/09/2022 20.45;A;3,45;3,55;2,00
1;350;4936;NATLEA;0;0;SLOVACCHIA - AZERBAIGIAN;22/09/2022 20.45;A;1,35;4,65;8,50
1;350;4940;NATLEA;0;0;TURCHIA - LUSSEMBURGO;22/09/2022 20.45;A;1,23;5,75;12,00
1;350;16480;COL1;0;0;BOYACA PATRIOTAS - ALIANZA PETROLERA;22/09/2022 21.00;A;2,00;3,00;3,85
